iter	RMSE
0	14.51772528
1	14.50828044
2	14.48701638
3	14.46851602
4	14.45018821
5	14.4295528
6	14.41186448
7	14.39874839
8	14.3769234
9	14.36916854
10	14.35562088
11	14.33740011
12	14.32289087
13	14.30822915
14	14.28632795
15	14.2753398
16	14.26219143
17	14.25252201
18	14.23047761
19	14.21007086
20	14.19856258
21	14.18464791
22	14.16753155
23	14.16219373
24	14.14740329
25	14.12901229
26	14.11091841
27	14.09528372
28	14.07948561
29	14.05858667
30	14.04445643
31	14.02578138
32	14.01232129
33	13.99482145
34	13.97992963
35	13.9650732
36	13.94869329
37	13.93177003
38	13.92971602
39	13.91782699
40	13.90218798
41	13.8895156
42	13.87163162
43	13.8566525
44	13.84269235
45	13.82983794
46	13.81265879
47	13.79535671
48	13.79518994
49	13.78464475
