iter	Passed	Remaining
0	0	29
1	4	115
2	9	141
3	13	153
4	17	158
5	21	156
6	25	157
7	29	155
8	33	153
9	34	139
10	39	139
11	43	138
12	47	136
13	51	133
14	55	130
15	59	126
16	63	123
17	65	115
18	68	112
19	72	109
20	76	105
21	80	102
22	84	99
23	85	92
24	89	89
25	93	86
26	97	82
27	101	79
28	105	76
29	109	73
30	114	69
31	117	66
32	122	62
33	126	59
34	129	55
35	134	52
36	138	48
37	141	44
38	142	40
39	146	36
40	149	32
41	153	29
42	157	25
43	161	21
44	164	18
45	167	14
46	172	10
47	175	7
48	176	3
49	180	0
