iter	Passed	Remaining
0	13	13020
1	14	7239
2	16	5333
3	17	4370
4	18	3757
5	20	3329
6	21	3035
7	22	2830
8	24	2660
9	25	2528
10	26	2409
11	28	2318
12	29	2236
13	30	2166
14	32	2106
15	33	2044
16	34	1997
17	35	1959
18	37	1919
19	38	1877
20	39	1842
21	40	1817
22	42	1793
23	43	1767
24	44	1743
25	45	1721
26	47	1704
27	48	1683
28	50	1676
29	51	1659
30	52	1645
31	53	1632
32	55	1623
33	56	1607
34	57	1590
35	58	1577
36	60	1575
37	61	1569
38	63	1567
39	65	1561
40	66	1551
41	67	1547
42	69	1540
43	70	1529
44	71	1525
45	73	1524
46	74	1514
47	75	1505
48	77	1499
49	78	1495
50	80	1490
51	81	1482
52	82	1473
53	83	1470
54	85	1468
55	86	1463
56	88	1457
57	89	1450
58	90	1444
59	91	1440
60	93	1433
61	94	1426
62	95	1421
63	96	1418
64	98	1415
65	99	1409
66	100	1404
67	102	1402
68	103	1399
69	105	1395
70	106	1390
71	107	1384
72	108	1381
73	110	1380
74	111	1377
75	112	1372
76	114	1366
77	115	1364
78	117	1366
79	118	1362
80	119	1358
81	120	1352
82	122	1349
83	123	1348
84	124	1343
85	126	1339
86	127	1337
87	129	1336
88	130	1333
89	131	1329
90	132	1324
91	133	1322
92	135	1321
93	136	1317
94	137	1313
95	139	1310
96	140	1309
97	141	1300
98	142	1296
99	143	1293
100	145	1291
101	146	1289
102	147	1287
103	149	1283
104	150	1280
105	151	1277
106	152	1275
107	154	1274
108	155	1271
109	156	1268
110	158	1267
111	159	1268
112	161	1265
113	162	1262
114	163	1258
115	164	1257
116	166	1255
117	167	1252
118	168	1247
119	169	1244
120	171	1243
121	172	1243
122	174	1240
123	175	1237
124	176	1235
125	178	1234
126	179	1233
127	180	1230
128	181	1227
129	183	1225
130	184	1225
131	186	1223
132	187	1221
133	188	1219
134	189	1216
135	191	1215
136	192	1212
137	193	1210
138	195	1208
139	196	1206
140	197	1204
141	199	1202
142	200	1201
143	201	1199
144	203	1199
145	204	1197
146	205	1194
147	206	1191
148	208	1189
149	209	1189
150	211	1186
151	212	1184
152	213	1183
153	215	1182
154	216	1179
155	217	1176
156	218	1173
157	219	1172
158	221	1171
159	222	1169
160	223	1166
161	225	1164
162	226	1162
163	228	1162
164	229	1160
165	230	1157
166	231	1154
167	233	1154
168	234	1153
169	235	1151
170	236	1147
171	237	1144
172	239	1143
173	240	1142
174	241	1140
175	243	1138
176	244	1135
177	245	1134
178	247	1133
179	248	1131
180	249	1128
181	250	1127
182	252	1125
183	253	1124
184	254	1122
185	256	1120
186	257	1119
187	259	1119
188	260	1117
189	261	1115
190	262	1113
191	264	1111
192	265	1110
193	266	1108
194	268	1106
195	269	1104
196	270	1102
197	271	1101
198	273	1099
199	274	1097
200	275	1095
201	277	1094
202	278	1093
203	279	1091
204	281	1090
205	282	1089
206	284	1089
207	285	1087
208	287	1086
209	288	1085
210	290	1084
211	291	1083
212	292	1081
213	294	1080
214	295	1080
215	297	1078
216	299	1080
217	302	1086
218	304	1085
219	305	1084
220	307	1083
221	308	1081
222	309	1079
223	311	1077
224	312	1075
225	313	1074
226	315	1072
227	316	1070
228	317	1068
229	318	1066
230	320	1065
231	321	1064
232	323	1063
233	324	1061
234	325	1059
235	326	1057
236	328	1056
237	329	1054
238	330	1052
239	331	1050
240	332	1048
241	334	1047
242	335	1045
243	336	1043
244	337	1041
245	339	1039
246	340	1038
247	342	1037
248	343	1035
249	344	1033
250	345	1032
251	347	1030
252	348	1028
253	349	1027
254	351	1025
255	352	1024
256	354	1024
257	356	1024
258	358	1026
259	360	1026
260	362	1025
261	363	1025
262	365	1024
263	367	1023
264	368	1022
265	370	1023
266	372	1023
267	374	1021
268	375	1020
269	377	1019
270	379	1021
271	381	1020
272	383	1020
273	384	1019
274	385	1017
275	387	1015
276	388	1015
277	390	1015
278	392	1013
279	393	1012
280	395	1011
281	397	1010
282	398	1009
283	399	1007
284	401	1006
285	402	1005
286	404	1003
287	405	1002
288	407	1002
289	409	1002
290	410	1000
291	411	998
292	413	997
293	414	995
294	416	994
295	417	994
296	419	993
297	421	991
298	423	992
299	424	990
300	426	989
301	427	988
302	429	987
303	431	987
304	433	987
305	434	985
306	436	984
307	437	982
308	438	981
309	440	979
310	441	978
311	442	976
312	444	975
313	445	973
314	447	972
315	448	970
316	449	968
317	451	967
318	452	967
319	454	966
320	456	964
321	457	963
322	458	961
323	460	960
324	461	958
325	462	956
326	464	955
327	465	953
328	466	951
329	467	949
330	468	947
331	470	946
332	471	945
333	473	943
334	474	941
335	475	939
336	476	938
337	478	936
338	479	935
339	480	933
340	482	931
341	483	930
342	484	928
343	486	927
344	487	925
345	488	923
346	489	922
347	491	920
348	492	918
349	493	916
350	494	915
351	496	913
352	497	911
353	498	910
354	499	908
355	501	906
356	502	904
357	503	903
358	504	901
359	506	899
360	507	898
361	508	896
362	509	894
363	511	893
364	512	891
365	513	889
366	515	888
367	516	886
368	517	885
369	518	883
370	520	882
371	521	880
372	523	879
373	524	877
374	525	875
375	526	874
376	528	872
377	529	870
378	530	869
379	531	867
380	533	866
381	534	864
382	535	862
383	536	861
384	538	859
385	539	857
386	540	856
387	542	854
388	543	853
389	544	851
390	545	850
391	547	848
392	548	846
393	549	845
394	550	843
395	552	842
396	553	840
397	554	838
398	555	837
399	557	836
400	558	834
401	560	833
402	561	831
403	562	829
404	563	828
405	565	827
406	566	825
407	567	823
408	568	822
409	570	820
410	571	819
411	572	817
412	574	815
413	575	814
414	576	812
415	577	811
416	579	809
417	580	807
418	581	806
419	582	804
420	584	803
421	585	801
422	586	799
423	587	798
424	588	796
425	590	795
426	591	793
427	592	792
428	593	790
429	595	789
430	596	787
431	598	786
432	599	784
433	600	782
434	601	781
435	603	780
436	604	778
437	605	776
438	606	775
439	608	773
440	609	772
441	610	770
442	611	769
443	613	767
444	614	766
445	615	764
446	616	763
447	618	761
448	619	760
449	620	758
450	622	757
451	623	755
452	624	754
453	625	752
454	627	751
455	628	750
456	630	748
457	631	746
458	632	745
459	633	743
460	635	742
461	636	740
462	637	739
463	638	737
464	640	736
465	641	734
466	642	733
467	643	731
468	645	730
469	646	728
470	647	727
471	649	726
472	650	724
473	651	723
474	653	721
475	654	720
476	655	719
477	657	717
478	658	716
479	660	715
480	661	713
481	662	712
482	663	710
483	665	709
484	666	707
485	667	706
486	669	705
487	670	703
488	672	702
489	673	701
490	675	699
491	676	698
492	677	696
493	678	695
494	680	693
495	681	692
496	682	691
497	684	689
498	685	688
499	686	686
500	687	685
501	689	683
502	690	682
503	691	680
504	693	679
505	694	677
506	695	676
507	696	674
508	698	673
509	699	671
