gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,master's degree,free/reduced,completed,52,70,49
male,group D,associate's degree,standard,completed,73,54,91
male,group B,master's degree,standard,completed,68,67,80
male,group C,associate's degree,free/reduced,completed,60,66,85
female,group D,high school,standard,completed,81,68,54
male,group E,high school,free/reduced,none,48,76,69
male,group C,associate's degree,standard,none,83,79,72
female,group D,some high school,standard,none,55,62,72
male,group D,associate's degree,standard,none,93,83,72
female,group B,associate's degree,standard,none,51,85,64
male,group B,bachelor's degree,free/reduced,completed,61,73,70
female,group C,some high school,standard,completed,67,78,84
male,group E,some college,free/reduced,completed,67,83,51
male,group E,some college,standard,none,73,54,91
male,group A,bachelor's degree,standard,none,47,84,83
male,group A,high school,standard,none,65,58,54
female,group C,some college,standard,none,68,59,74
male,group C,some college,free/reduced,none,58,72,82
male,group D,bachelor's degree,standard,none,72,39,49
female,group D,bachelor's degree,standard,completed,46,71,69
male,group B,associate's degree,standard,completed,61,83,67
female,group A,high school,standard,none,55,46,58
female,group D,master's degree,standard,none,61,84,69
male,group E,associate's degree,standard,none,88,59,59
female,group C,high school,free/reduced,none,88,72,89
female,group A,bachelor's degree,standard,completed,85,61,59
female,group A,some college,standard,none,59,77,80
male,group C,some high school,standard,none,80,83,43
male,group E,associate's degree,standard,none,68,78,66
male,group C,some college,free/reduced,none,67,69,68
female,group B,associate's degree,standard,none,65,62,65
female,group D,some college,standard,completed,92,68,62
male,group C,associate's degree,standard,completed,86,78,58
female,group B,some college,standard,none,77,79,79
female,group E,some college,standard,none,63,77,83
female,group E,some college,free/reduced,none,67,51,67
male,group B,some high school,free/reduced,completed,74,69,52
male,group C,high school,free/reduced,none,58,60,95
male,group D,some college,standard,none,80,78,55
female,group D,some college,standard,none,52,58,46
female,group C,high school,standard,none,72,75,38
female,group A,some college,standard,none,32,65,69
female,group D,some college,free/reduced,none,58,43,65
male,group C,some high school,standard,none,97,82,83
female,group C,some college,free/reduced,completed,82,69,77
female,group A,high school,free/reduced,none,89,87,72
male,group C,some high school,standard,completed,56,46,64
male,group C,master's degree,standard,none,68,65,85
female,group C,bachelor's degree,free/reduced,completed,85,66,96
male,group D,some college,standard,completed,75,73,83
male,group B,some high school,free/reduced,none,74,50,61
male,group C,some high school,standard,completed,90,77,80
female,group C,high school,standard,none,50,96,62
male,group C,bachelor's degree,standard,completed,63,76,51
female,group C,high school,free/reduced,none,40,70,55
female,group D,some high school,standard,none,50,50,63
male,group C,associate's degree,free/reduced,completed,82,58,70
female,group B,some high school,standard,completed,52,68,99
female,group B,some high school,free/reduced,none,77,62,55
male,group C,high school,free/reduced,none,91,83,88
female,group C,associate's degree,standard,completed,63,76,63
female,group D,master's degree,standard,completed,74,100,38
male,group C,some college,free/reduced,none,77,55,60
female,group E,associate's degree,standard,none,48,69,86
male,group C,some college,free/reduced,none,57,50,73
male,group D,some high school,standard,none,51,38,74
male,group D,some high school,free/reduced,none,58,79,88
male,group A,high school,free/reduced,completed,77,76,52
female,group A,bachelor's degree,free/reduced,none,57,57,52
male,group D,some college,standard,completed,65,70,34
female,group D,bachelor's degree,standard,none,50,60,81
female,group B,high school,standard,none,84,62,76
male,group C,high school,standard,none,58,65,79
male,group B,some high school,standard,none,89,56,50
female,group D,associate's degree,standard,completed,67,59,44
female,group B,some high school,free/reduced,completed,45,59,48
male,group C,some high school,standard,none,63,75,54
female,group D,some college,standard,completed,50,30,91
male,group E,some high school,free/reduced,completed,75,66,83
female,group C,master's degree,standard,none,62,54,61
male,group D,some college,standard,completed,68,54,72
female,group C,high school,free/reduced,completed,60,62,58
female,group C,some college,free/reduced,none,58,69,73
female,group B,high school,standard,completed,51,66,51
female,group D,associate's degree,standard,none,79,54,79
male,group E,associate's degree,free/reduced,none,63,79,55
male,group D,master's degree,standard,completed,61,56,80
male,group C,associate's degree,standard,none,63,59,62
male,group D,associate's degree,standard,none,56,73,56
female,group A,associate's degree,standard,completed,61,73,92
female,group D,associate's degree,standard,none,69,60,71
female,group A,bachelor's degree,standard,none,50,28,63
male,group D,associate's degree,standard,completed,53,57,79
female,group E,some college,free/reduced,none,87,71,48
male,group D,high school,standard,none,61,79,85
female,group C,high school,free/reduced,completed,58,68,66
male,group B,associate's degree,free/reduced,completed,46,62,77
female,group A,associate's degree,standard,none,79,100,45
female,group C,some high school,standard,completed,50,64,62
male,group A,some high school,standard,completed,66,78,68
male,group D,some high school,standard,none,40,50,83
female,group D,high school,free/reduced,none,78,54,78
male,group D,bachelor's degree,standard,none,84,78,62
female,group D,some college,free/reduced,completed,73,84,73
male,group B,associate's degree,standard,none,43,64,87
male,group C,some college,standard,none,79,43,65
male,group C,associate's degree,standard,completed,54,67,63
male,group C,master's degree,standard,completed,48,72,40
female,group D,associate's degree,standard,none,60,70,64
male,group B,high school,standard,none,60,61,42
male,group C,high school,standard,none,58,67,66
male,group D,associate's degree,standard,none,85,59,83
male,group D,some high school,free/reduced,completed,96,53,36
male,group C,associate's degree,standard,completed,45,80,87
female,group D,some high school,free/reduced,none,56,70,63
female,group D,bachelor's degree,free/reduced,none,68,67,68
female,group D,some high school,free/reduced,completed,60,62,60
male,group D,high school,standard,none,72,66,42
male,group C,master's degree,free/reduced,none,80,71,56
female,group E,some college,standard,none,77,93,99
male,group B,associate's degree,standard,none,75,78,52
female,group C,some college,standard,completed,91,60,44
male,group A,some college,free/reduced,none,42,60,70
female,group E,associate's degree,standard,none,88,58,67
female,group C,associate's degree,free/reduced,none,60,66,63
male,group D,high school,standard,completed,78,58,68
male,group B,some high school,free/reduced,none,51,76,78
female,group E,associate's degree,free/reduced,none,52,32,59
male,group B,associate's degree,standard,none,76,76,71
male,group C,bachelor's degree,free/reduced,none,37,73,83
male,group C,high school,standard,none,81,87,53
male,group E,master's degree,standard,none,85,81,33
female,group B,some high school,standard,none,69,59,78
male,group D,some high school,standard,none,68,80,100
male,group E,associate's degree,standard,completed,53,67,68
female,group B,some college,standard,none,76,42,71
female,group B,some high school,standard,none,71,71,64
female,group B,high school,free/reduced,none,52,60,92
female,group C,some college,free/reduced,completed,60,69,67
